host_time_s,host_monotonic_s,source,device,event,value
1778594141.702765,193447.783987,host,protocol,ITI,48.8s
1778594141.920327,193448.000769,host,water,TX,STATUS
1778594141.920327,193448.001356,serial,water,RX,"21652,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594144.917114,193450.997873,host,water,TX,STATUS
1778594144.932835,193451.013678,serial,water,RX,"24655,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594146.750729,193452.831417,serial,water,RX,"26471,LICK,0"
1778594147.202831,193453.283324,serial,water,RX,"26928,LICK,0"
1778594147.928103,193454.008952,host,water,TX,STATUS
1778594147.943213,193454.024530,serial,water,RX,"27658,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594148.838632,193454.919084,serial,water,RX,"28549,LICK,0"
1778594150.017764,193456.098945,serial,water,RX,"29729,LICK,0"
1778594150.932514,193457.013345,host,water,TX,STATUS
1778594150.963242,193457.043933,serial,water,RX,"30653,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594153.932885,193460.014044,host,water,TX,STATUS
1778594153.948624,193460.029550,serial,water,RX,"33644,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
